14.8.2008: +33, 751, ЮЗ 1м/с, +23, 750, ЮЗ 1м/с
15.8.2008: +33, 750, З 1м/с, +23, 750, З 1м/с
16.8.2008: +35, 750, Ш, +28, 750, Ш
17.8.2008: +32, 752, С 2м/с, +26, 751, С 2м/с
18.8.2008: +32, 752, Ш, +23, 750, Ш
19.8.2008: +33, 747, Ю 1м/с, +24, 746, Ю 1м/с
20.8.2008: +35, 744, Ю 1м/с, +27, 744, Ю 1м/с
21.8.2008: +23, 747, СЗ 2м/с, , , 
22.8.2008: +27, 746, Ю 1м/с, +19, 744, Ю 1м/с
23.8.2008: +25, 747, З 1м/с, +18, 747, З 1м/с
24.8.2008: +27, 750, З 2м/с, +21, 750, З 2м/с
25.8.2008: +28, 750, ЮВ 2м/с, +23, 749, ЮВ 2м/с
26.8.2008: +30, 746, ЮЗ 3м/с, , , 
27.8.2008: +22, 740, ЮЗ 5м/с, +18, 741, ЮЗ 5м/с
28.8.2008: +19, 744, З 3м/с, +15, 746, З 3м/с
29.8.2008: +25, 744, ЮЗ 3м/с, +22, 743, ЮЗ 3м/с
30.8.2008: +24, 740, Ю 4м/с, +23, 738, Ю 4м/с
31.8.2008: +18, 733, ЮЗ 5м/с, +13, 735, ЮЗ 5м/с
1.9.2008: +13, 741, З 3м/с, +9, 745, З 3м/с
2.9.2008: +15, 749, З 5м/с, +13, 748, З 5м/с
3.9.2008: +14, 751, З 2м/с, +15, 751, З 2м/с
4.9.2008: +20, 753, З 2м/с, +16, 753, З 2м/с
5.9.2008: +26, 753, З 3м/с, +17, 752, З 3м/с
6.9.2008: +29, 753, ЮЗ 2м/с, +19, 753, ЮЗ 2м/с
7.9.2008: +30, 753, Ю 2м/с, +19, 751, Ю 2м/с
8.9.2008: +29, 748, ЮЗ 3м/с, +22, 747, ЮЗ 3м/с
9.9.2008: +29, 744, ЮЗ 2м/с, +18, 744, ЮЗ 2м/с
10.9.2008: +18, 747, С 2м/с, +10, 748, С 2м/с
11.9.2008: +16, 747, В 3м/с, +13, 745, В 3м/с
12.9.2008: +13, 741, В 3м/с, +13, 739, В 3м/с
13.9.2008: +15, 741, ЮЗ 1м/с, +12, 741, ЮЗ 1м/с
14.9.2008: +15, 742, Ю 1м/с, +13, 743, Ю 1м/с
15.9.2008: +11, 734, В 2м/с, +11, 735, В 2м/с
16.9.2008: +8, 746, С 3м/с, +7, 749, С 3м/с
17.9.2008: +10, 753, С 2м/с, +7, 755, С 2м/с
18.9.2008: +12, 757, СЗ 2м/с, +10, 758, СЗ 2м/с
19.9.2008: +14, 760, В 1м/с, +11, 760, В 1м/с
20.9.2008: +14, 762, СВ 2м/с, +10, 762, СВ 2м/с
21.9.2008: +14, 763, В 2м/с, +10, 763, В 2м/с
22.9.2008: +15, 762, В 2м/с, +9, 761, В 2м/с
23.9.2008: +15, 759, В 2м/с, +10, 759, В 2м/с
24.9.2008: +15, 757, В 1м/с, +11, 756, В 1м/с
25.9.2008: +13, 753, Ш, +10, 753, Ш
26.9.2008: +10, 751, С 3м/с, +6, 752, С 3м/с
27.9.2008: +6, 753, С 2м/с, +3, 752, С 2м/с
28.9.2008: +7, 752, ЮВ 1м/с, +5, 751, ЮВ 1м/с
29.9.2008: +14, 747, ЮЗ 4м/с, +12, 748, ЮЗ 4м/с
30.9.2008: +14, 749, ЮЗ 3м/с, +12, 750, ЮЗ 3м/с
1.10.2008: +15, 752, Ю 2м/с, +10, 753, Ю 2м/с
2.10.2008: +17, 753, Ю 1м/с, +11, 753, Ю 1м/с
3.10.2008: +20, 754, ЮЗ 3м/с, +15, 755, ЮЗ 3м/с
4.10.2008: +21, 756, Ю 2м/с, +14, 757, Ю 2м/с
5.10.2008: +21, 756, Ю 2м/с, +15, 756, Ю 2м/с
6.10.2008: +21, 755, Ш, +15, 755, Ш
7.10.2008: +21, 752, Ш, +14, 752, Ш
8.10.2008: +21, 748, З 1м/с, +15, 747, З 1м/с
9.10.2008: +9, 746, С 3м/с, +7, 747, С 3м/с
